[2026-05-03 07:56:33] 11 | 🟢11 💤0 ⚠️0
[2026-05-03 07:57:04] 11 | 🟢11 💤0 ⚠️0
[2026-05-03 09:15:00] 11 | 🟢11 💤0 ⚠️0
[2026-05-03 09:15:25] 11 | 🟢11 💤0 ⚠️0
[2026-05-03 10:12:33] 11 | 🟢11 💤0 ⚠️0
[2026-05-03 13:39:04] 11 | 🟢11 💤0 ⚠️0
[2026-05-03 15:55:31] 12 | 🟢12 💤0 ⚠️0
[2026-05-03 19:10:51] 12 | 🟢12 💤0 ⚠️0
[2026-05-03 21:53:13] 12 | 🟢5 💤7 ⚠️0
[2026-05-04 03:55:18] 13 | 🟢8 💤5 ⚠️0
[2026-05-04 08:39:59] 8 | 🟢3 💤5 ⚠️0
[2026-05-04 11:10:11] 8 | 🟢3 💤5 ⚠️0
[2026-05-04 14:21:47] 8 | 🟢3 💤0 ⚠️5
[2026-05-04 16:54:31] 6 | 🟢3 💤3 ⚠️0
[2026-05-04 19:50:28] 6 | 🟢3 💤3 ⚠️0
[2026-05-04 22:09:57] 6 | 🟢3 💤3 ⚠️0
[2026-05-05 03:36:31] 8 | 🟢5 💤0 ⚠️3
[2026-05-05 08:21:57] 5 | 🟢2 💤3 ⚠️0
[2026-05-05 10:51:27] 6 | 🟢3 💤3 ⚠️0
[2026-05-05 14:15:05] 6 | 🟢3 💤0 ⚠️3
[2026-05-05 16:47:23] 7 | 🟢2 💤2 ⚠️3
[2026-05-05 19:46:32] 4 | 🟢2 💤2 ⚠️0
[2026-05-05 22:07:03] 4 | 🟢2 💤2 ⚠️0
[2026-05-06 03:52:11] 2 | 🟢1 💤1 ⚠️0
[2026-05-06 08:37:45] 5 | 🟢3 💤1 ⚠️1
[2026-05-06 11:11:04] 4 | 🟢3 💤1 ⚠️0
[2026-05-06 14:34:17] 4 | 🟢3 💤0 ⚠️1
[2026-05-06 16:49:12] 4 | 🟢4 💤0 ⚠️0
[2026-05-06 19:56:09] 5 | 🟢5 💤0 ⚠️0
[2026-05-06 22:03:44] 5 | 🟢2 💤3 ⚠️0
[2026-05-07 03:50:50] 5 | 🟢2 💤3 ⚠️0
[2026-05-07 08:44:46] 2 | 🟢0 💤2 ⚠️0
[2026-05-07 11:13:43] 3 | 🟢1 💤2 ⚠️0
[2026-05-07 14:35:50] 4 | 🟢2 💤1 ⚠️1
[2026-05-07 16:58:37] 5 | 🟢4 💤0 ⚠️1
[2026-05-07 19:49:59] 6 | 🟢5 💤0 ⚠️1
[2026-05-07 22:09:13] 5 | 🟢5 💤0 ⚠️0
[2026-05-08 03:41:16] 4 | 🟢2 💤2 ⚠️0
[2026-05-08 07:51:12] 4 | 🟢2 💤1 ⚠️1
[2026-05-08 10:44:16] 5 | 🟢1 💤2 ⚠️2
[2026-05-08 14:06:42] 4 | 🟢1 💤2 ⚠️1
[2026-05-08 16:20:18] 4 | 🟢2 💤0 ⚠️2
[2026-05-08 19:39:50] 6 | 🟢4 💤0 ⚠️2
